客户ID,年龄,收入等级,持有产品,产品数量
C0001,37,低,储蓄账户|信用卡|基金,3
C0002,56,低,储蓄账户|信用卡|基金,3
C0003,35,低,信用卡|基金|理财产品|保险,4
C0004,63,中,储蓄账户|基金|贷款|理财产品,4
C0005,22,中,信用卡|基金|理财产品|保险,4
C0006,43,低,信用卡|储蓄账户|贷款,3
C0007,43,低,储蓄账户|基金|保险,3
C0008,60,低,储蓄账户|保险|基金,3
C0009,56,低,储蓄账户|信用卡,2
C0010,62,中,储蓄账户|保险|基金,3
C0011,26,低,信用卡|储蓄账户|基金|理财产品|保险,5
C0012,27,高,信用卡|储蓄账户|基金|保险,4
C0013,51,中,储蓄账户|信用卡|基金,3
C0014,35,中,信用卡|储蓄账户|基金|理财产品|保险,5
C0015,32,中,储蓄账户|基金,2
C0016,39,高,信用卡|储蓄账户|基金|保险|贷款,5
C0017,25,低,信用卡|储蓄账户|保险|基金,4
C0018,47,低,储蓄账户|信用卡,2
C0019,58,高,储蓄账户|基金|保险,3
C0020,47,高,储蓄账户|基金|理财产品|贷款,4
C0021,37,中,储蓄账户|贷款|理财产品,3
C0022,59,中,信用卡|储蓄账户|保险|基金|贷款,5
C0023,30,中,信用卡|储蓄账户|基金|保险|贷款,5
C0024,29,低,储蓄账户|基金,2
C0025,49,中,信用卡|储蓄账户|贷款,3
C0026,51,中,储蓄账户|保险|基金,3
C0027,22,中,信用卡|储蓄账户|保险|基金|贷款,5
C0028,56,中,储蓄账户|信用卡|基金,3
C0029,32,中,储蓄账户|基金|理财产品|贷款,4
C0030,33,中,储蓄账户|贷款|保险,3
C0031,41,高,储蓄账户|信用卡|基金,3
C0032,31,中,储蓄账户|理财产品|保险,3
C0033,55,高,信用卡|储蓄账户|贷款,3
C0034,23,低,储蓄账户|基金|贷款|理财产品,4
C0035,41,低,信用卡|储蓄账户|基金|理财产品|保险,5
C0036,27,低,信用卡|储蓄账户|基金|保险|贷款,5
C0037,56,中,信用卡|储蓄账户|基金|贷款|保险,5
C0038,57,低,储蓄账户|信用卡|基金|理财产品,4
C0039,49,高,储蓄账户|理财产品|保险,3
C0040,34,中,信用卡|储蓄账户|保险|基金|贷款,5
C0041,63,中,储蓄账户|保险|基金,3
C0042,37,低,储蓄账户|理财产品|保险,3
C0043,59,低,储蓄账户|基金|理财产品|贷款,4
C0044,25,低,储蓄账户|基金,2
C0045,26,中,储蓄账户|信用卡,2
C0046,35,中,储蓄账户|贷款|保险,3
C0047,37,中,基金|理财产品,2
C0048,64,中,信用卡|基金|理财产品|保险,4
C0049,25,中,信用卡|基金|理财产品|保险,4
C0050,28,低,储蓄账户|信用卡|基金,3
C0051,30,中,储蓄账户|基金|保险,3
C0052,26,中,储蓄账户|贷款|保险,3
C0053,27,高,信用卡|储蓄账户|保险|基金|贷款,5
C0054,52,低,信用卡|储蓄账户|基金|保险|贷款,5
C0055,32,中,储蓄账户|保险|基金,3
C0056,40,中,储蓄账户|保险|基金|贷款,4
C0057,53,低,信用卡|储蓄账户|保险|基金|贷款,5
C0058,59,中,信用卡|储蓄账户|贷款|保险,4
C0059,25,低,储蓄账户|信用卡,2
C0060,55,低,信用卡|储蓄账户|基金|贷款|保险,5
C0061,26,中,储蓄账户|理财产品|保险,3
C0062,58,低,信用卡|储蓄账户|基金|保险|贷款,5
C0063,48,中,储蓄账户|基金|贷款|理财产品|保险,5
C0064,38,低,基金|理财产品,2
C0065,30,中,储蓄账户|基金|理财产品|贷款,4
C0066,26,低,信用卡|储蓄账户|贷款|保险,4
C0067,28,低,储蓄账户|基金|贷款|理财产品|保险,5
C0068,30,高,储蓄账户|基金|保险,3
C0069,45,低,储蓄账户|基金,2
C0070,41,中,储蓄账户|贷款|理财产品,3
C0071,64,低,储蓄账户|理财产品|保险|基金,4
C0072,57,低,储蓄账户|信用卡|基金|理财产品|保险,5
C0073,43,低,信用卡|储蓄账户|贷款|保险,4
C0074,38,高,储蓄账户|贷款|保险,3
C0075,39,低,储蓄账户|信用卡|贷款,3
C0076,62,高,储蓄账户|基金|理财产品|贷款,4
C0077,57,中,信用卡|储蓄账户|贷款,3
C0078,31,中,信用卡|储蓄账户|保险|基金|贷款,5
C0079,31,中,信用卡|储蓄账户|基金|理财产品|保险,5
C0080,24,高,储蓄账户|信用卡|贷款,3
C0081,64,低,储蓄账户|基金|保险,3
C0082,48,高,信用卡|储蓄账户|保险|基金|贷款,5
C0083,37,高,储蓄账户|信用卡|基金|理财产品|保险,5
C0084,23,低,信用卡|储蓄账户|贷款,3
C0085,48,高,储蓄账户|基金|理财产品|贷款,4
C0086,46,高,信用卡|储蓄账户|基金|保险|贷款,5
C0087,44,中,信用卡|储蓄账户|基金|贷款|保险,5
C0088,47,中,信用卡|储蓄账户|基金|保险|贷款|理财产品,6
C0089,39,中,储蓄账户|基金,2
C0090,56,中,储蓄账户|理财产品|保险|基金,4
C0091,33,中,储蓄账户|基金,2
C0092,44,中,储蓄账户|贷款|保险,3
C0093,54,低,储蓄账户|基金|理财产品|贷款,4
C0094,49,低,基金|理财产品|保险,3
C0095,64,低,信用卡|储蓄账户|保险|基金|贷款,5
C0096,61,中,信用卡|基金|理财产品|保险,4
C0097,41,中,储蓄账户|信用卡|基金,3
C0098,40,中,信用卡|基金|理财产品|保险,4
C0099,46,中,储蓄账户|基金|保险,3
C0100,41,中,信用卡|储蓄账户|贷款,3
